iter	Logloss
0	0.6855149998
1	0.677087089
2	0.6702184987
3	0.6643315923
4	0.657915125
5	0.6514998157
6	0.6461360244
7	0.6390706279
8	0.63272479
9	0.6271841638
10	0.6216609692
11	0.6156950674
12	0.6103059422
13	0.6050650727
14	0.6011996859
15	0.5965126411
16	0.5905148023
17	0.5860842485
18	0.5826714702
19	0.5787107876
20	0.5735968237
21	0.5688073503
22	0.5650105075
23	0.5617773118
24	0.5574985164
25	0.553524091
26	0.5494823442
27	0.5462925634
28	0.5424273194
29	0.5390546479
30	0.5363148482
31	0.5338065411
32	0.5308508847
33	0.5286384276
34	0.5267176646
35	0.5237470424
36	0.5204407817
37	0.5175617407
38	0.5154784189
39	0.5118687205
40	0.5091355378
41	0.5058651002
42	0.5037934488
43	0.5010799044
44	0.4990764619
45	0.4962666208
46	0.4944232962
47	0.4910434622
48	0.4891532544
49	0.4874590733
50	0.4840675918
51	0.4822409281
52	0.480142749
53	0.4778434114
54	0.4759932245
55	0.4742976558
56	0.4724980372
57	0.4708126173
58	0.4689752615
59	0.4676183755
60	0.4656498037
61	0.4641401499
62	0.462696221
63	0.4615004992
64	0.4604932966
65	0.4594135514
66	0.457968839
67	0.4567135992
68	0.4546759549
69	0.4531336902
70	0.4521266413
71	0.4501330883
72	0.4483934663
73	0.4468770476
74	0.4456092754
75	0.4437881618
76	0.4429340124
77	0.4419641383
78	0.4409543231
79	0.4398346247
80	0.4377857665
81	0.4370913849
82	0.4360151674
83	0.4338658951
84	0.4330506819
85	0.4315601247
86	0.4301554876
87	0.4296356146
88	0.4288823888
89	0.427877052
90	0.42670407
91	0.4256415008
92	0.4251379114
93	0.4241513848
94	0.4233251817
95	0.4224810233
96	0.4215698909
97	0.4207098051
98	0.4192136892
99	0.418527529
100	0.4176344349
101	0.4164605014
102	0.4155657326
103	0.4150440875
104	0.414047246
105	0.4134083155
106	0.4128325297
107	0.4120207141
108	0.4112471825
109	0.4103615878
110	0.4098843548
111	0.4089941473
112	0.4080775679
113	0.4071630685
114	0.4064449024
115	0.4058528349
116	0.4052605503
117	0.4041041684
118	0.4035340817
119	0.4032323888
120	0.4026863103
121	0.4018410496
122	0.4010875168
123	0.4004613832
124	0.3998815746
125	0.3994032847
126	0.3988970418
127	0.3983345035
128	0.397830117
129	0.397472612
130	0.3970526619
131	0.3959476501
132	0.3954501017
133	0.3950607201
134	0.3947005313
135	0.3940579215
136	0.3938609182
137	0.3934049541
138	0.3929365773
139	0.392460756
140	0.3919533379
